Simulation Total Time;7886313
Total Number of Sensed Events by the WSN: 354472
Total Number of Sensed Events by the Drone: 354472
Number of Sensed Events by the Drone per Day
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;367341;0
Time that first node die: Node60 87 days 2:18:37
Simulation Total Time;7880616
Total Number of Sensed Events by the WSN: 354185
Total Number of Sensed Events by the Drone: 354185
Number of Sensed Events by the Drone per Day
1;3935
2;3999
3;3999
4;4017
5;3975
6;3992
7;4018
8;4003
9;4000
10;4045
11;4024
12;3987
13;3991
14;4031
15;3943
16;3954
17;3963
18;4031
19;3978
20;4044
21;4033
22;4089
23;3999
24;4042
25;4036
26;3967
27;3978
28;3993
29;4027
30;4022
31;4060
32;4053
33;4042
34;3973
35;3997
36;4020
37;4034
38;4013
39;4013
40;3997
41;4019
42;3984
43;3992
44;4058
45;3960
46;3987
47;3994
48;4007
49;3988
50;4023
51;3958
52;4052
53;4020
54;4033
55;4025
56;4024
57;4022
58;3935
59;3991
60;3969
61;4042
62;4070
63;4045
64;4006
65;3956
66;4005
67;4012
68;4032
69;4042
70;3996
71;3934
72;3981
73;4048
74;3996
75;3986
76;4037
77;4004
78;4046
79;4038
80;3990
81;4009
82;4004
83;3930
84;3931
85;3973
86;4000
87;4013
88;3055
89;1805
90;631
91;192
92;18
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.MuleWSNNode;Node0;0;276761;24188;0;5831;7844596.666665;90 days 19:3:59
eboracum.wsn.network.node.sensor.MuleWSNNode;Node1;0;359376;31246;0;6317;7697876.666663;89 days 2:18:36
eboracum.wsn.network.node.sensor.MuleWSNNode;Node2;0;319433;31568;0;6200;7712986.666664;89 days 6:31:27
eboracum.wsn.network.node.sensor.MuleWSNNode;Node3;0;315118;31376;0;6150;7722739.999998;89 days 9:13:0
eboracum.wsn.network.node.sensor.MuleWSNNode;Node4;0;316046;31382;0;6187;7716883.333331;89 days 7:36:12
eboracum.wsn.network.node.sensor.MuleWSNNode;Node5;0;323232;31774;0;6272;7699646.666664;89 days 2:49:1
eboracum.wsn.network.node.sensor.MuleWSNNode;Node6;0;324693;31956;0;6336;7687799.999997;88 days 23:30:29
eboracum.wsn.network.node.sensor.MuleWSNNode;Node7;0;314890;31012;0;6209;7717136.666664;89 days 7:38:59
eboracum.wsn.network.node.sensor.MuleWSNNode;Node8;0;226183;24132;0;5834;7844686.666664;90 days 19:6:49
eboracum.wsn.network.node.sensor.MuleWSNNode;Node9;0;366041;31268;0;6209;7714576.666663;89 days 6:57:12
eboracum.wsn.network.node.sensor.MuleWSNNode;Node10;0;419968;39238;0;6702;7557639.999997;87 days 11:22:3
eboracum.wsn.network.node.sensor.MuleWSNNode;Node11;0;423161;39585;0;6713;7552446.666665;87 days 9:54:58
eboracum.wsn.network.node.sensor.MuleWSNNode;Node12;0;415494;39346;0;6689;7558596.666665;87 days 11:37:59
eboracum.wsn.network.node.sensor.MuleWSNNode;Node13;0;423543;39442;0;6591;7572999.999998;87 days 15:36:56
eboracum.wsn.network.node.sensor.MuleWSNNode;Node14;0;427291;39755;0;6721;7549493.333331;87 days 9:5:11
eboracum.wsn.network.node.sensor.MuleWSNNode;Node15;0;423961;39754;0;6827;7532896.666664;87 days 4:28:45
eboracum.wsn.network.node.sensor.MuleWSNNode;Node16;0;411673;38773;0;6521;7590646.666665;87 days 20:30:53
eboracum.wsn.network.node.sensor.MuleWSNNode;Node17;0;308478;30922;0;6255;7710829.999998;89 days 5:55:36
eboracum.wsn.network.node.sensor.MuleWSNNode;Node18;0;327090;32051;0;6403;7676353.333331;88 days 20:21:4
eboracum.wsn.network.node.sensor.MuleWSNNode;Node19;0;430776;39902;0;6824;7531886.666663;87 days 4:11:27
eboracum.wsn.network.node.sensor.MuleWSNNode;Node20;0;439242;40476;0;6716;7543066.666664;87 days 7:18:34
eboracum.wsn.network.node.sensor.MuleWSNNode;Node21;0;381294;40171;0;6654;7555830;87 days 10:50:44
eboracum.wsn.network.node.sensor.MuleWSNNode;Node22;0;375733;40175;0;6761;7539026.666664;87 days 6:11:15
eboracum.wsn.network.node.sensor.MuleWSNNode;Node23;0;384625;40438;0;6760;7536553.333331;87 days 5:29:19
eboracum.wsn.network.node.sensor.MuleWSNNode;Node24;0;429796;40315;0;6727;7542953.333332;87 days 7:15:56
eboracum.wsn.network.node.sensor.MuleWSNNode;Node25;0;412961;39315;0;6661;7563303.333331;87 days 12:55:27
eboracum.wsn.network.node.sensor.MuleWSNNode;Node26;0;316843;31557;0;6161;7719206.666664;89 days 8:14:51
eboracum.wsn.network.node.sensor.MuleWSNNode;Node27;0;321531;31676;0;6261;7702349.999997;89 days 3:33:29
eboracum.wsn.network.node.sensor.MuleWSNNode;Node28;0;423708;39586;0;6624;7566379.999997;87 days 13:46:23
eboracum.wsn.network.node.sensor.MuleWSNNode;Node29;0;380766;40178;0;6876;7520989.999997;87 days 1:9:50
eboracum.wsn.network.node.sensor.MuleWSNNode;Node30;0;258322;40296;0;6700;7547373.333333;87 days 8:29:38
eboracum.wsn.network.node.sensor.MuleWSNNode;Node31;0;212937;33656;0;6735;7608290;88 days 1:24:55
eboracum.wsn.network.node.sensor.MuleWSNNode;Node32;0;257006;40229;0;6725;7544126.666667;87 days 7:37:2
eboracum.wsn.network.node.sensor.MuleWSNNode;Node33;0;373760;40077;0;6650;7557396.666664;87 days 11:17:8
eboracum.wsn.network.node.sensor.MuleWSNNode;Node34;0;413441;39595;0;6723;7550779.999998;87 days 9:26:29
