Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;251164;90772;1;11799;6125780;70 days 21:57:9
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;400980;172191;0;12000;5278090;61 days 2:9:1
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;646710;240787;0;10810;4790463.333333;55 days 10:42:45
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;408889;416732;0;7844;3525346.666666;40 days 19:16:4
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;646437;240543;1;10841;4787736.666666;55 days 9:55:56
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;401701;173109;0;11952;5276910;61 days 1:50:16
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;252559;91368;1;11918;6099986.666666;70 days 14:37:53
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;242869;78973;0;13359;5983770;
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;406228;86759;0;14701;5682243.333333;65 days 18:24:18
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;486044;87061;1;14815;5660223.333333;65 days 12:18:11
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;662524;86922;1;14660;5687446.666666;
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;485663;86469;1;14702;5684976.666666;65 days 19:11:44
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;406580;86458;0;14797;5669253.333333;65 days 14:47:56
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;243560;79450;1;13437;5966000;69 days 1:14:47
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;204935;66532;0;13647;6060180;70 days 3:23:16
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;281357;73076;1;15065;5758406.666666;66 days 15:34:0
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;291658;73481;0;15048;5757190;66 days 15:13:34
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;291210;73147;0;15049;5760363.333333;66 days 16:9:24
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;290398;72869;0;14991;5772810;66 days 19:33:49
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;281506;73038;0;14912;5784286.666666;66 days 22:46:11
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;205869;67032;0;13652;6054346.666666;70 days 1:46:37
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;165183;53595;1;13933;6141883.333333;71 days 2:5:12
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;227099;58989;0;15333;5854610;67 days 18:16:59
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;235332;59355;0;15376;5843783.333333;67 days 15:17:13
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;234844;59063;1;15353;5850536.666666;67 days 17:10:50
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;234280;58758;0;15299;5862586.666666;67 days 20:30:15
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;227034;58888;0;15299;5861286.666666;67 days 20:12:34
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;165983;54033;0;13971;6131170;70 days 23:7:50
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;124259;40296;1;14153;6238206.666666;72 days 4:50:56
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;171263;44521;1;15529;5966623.333333;69 days 1:24:15
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;177430;44804;0;15586;5954293.333333;68 days 21:58:45
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;177104;44541;1;15514;5968923.333333;69 days 2:4:0
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;176324;44210;0;15542;5967566.666666;69 days 1:39:30
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;171224;44475;0;15427;5984083.333333;69 days 6:20:17
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;124952;40653;1;14209;6225303.333333;72 days 1:15:17
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;82129;26639;1;14338;6343943.333333;73 days 10:18:3
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node36;0;113454;29532;1;15784;6074013.333333;70 days 7:14:24
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node37;0;117694;29753;1;15824;6065136.666666;70 days 4:46:48
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node38;0;117269;29558;1;15733;6082253.333333;70 days 9:31:35
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node39;0;116870;29255;1;15614;6105116.666666;70 days 15:52:55
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node40;0;113141;29461;0;15761;6078556.666666;70 days 8:29:35
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node41;0;82538;26888;1;14464;6320453.333333;73 days 3:41:34
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node42;0;41161;12986;1;12986;6705806.666666;77 days 15:10:48
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node43;0;56702;14522;1;14522;6434446.666666;74 days 11:23:22
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node44;0;58817;14703;1;14703;6402470;74 days 2:35:42
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node45;0;58593;14630;1;14630;6415366.666666;74 days 6:5:52
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node46;0;58386;14420;1;14421;6452300;74 days 16:20:25
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node47;0;56490;14501;0;14501;6438156.666666;74 days 12:23:15
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node48;0;41389;13143;1;13143;6678070;77 days 7:4:16
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;313168;0
Time that first node die: Node3 40 days 19:16:4
Simulation Total Time;8390834
Total Number of Sensed Events by the WSN: 196501
Number of Sensed Events by the WSN per Day
1;2060
2;3016
3;2849
4;2961
5;2851
6;3018
7;2871
8;2884
9;2888
10;2789
11;2999
12;2820
13;2830
14;2885
15;2862
16;3021
17;2858
18;2922
19;2940
20;2818
21;3023
22;2894
23;2891
24;2938
25;2831
26;3009
27;2793
28;2893
29;2944
30;2930
31;3042
32;2905
33;2985
34;2876
35;2829
36;2980
37;2822
38;2973
39;2945
40;2880
41;3011
42;2849
43;2934
44;2896
45;2868
46;2983
47;2885
48;2920
49;2931
50;2834
51;2976
52;2880
53;2888
54;2920
55;2880
56;2970
57;2941
58;2951
59;2880
60;2760
61;2970
62;2838
63;2882
64;2980
65;2907
66;3030
67;2880
68;2332
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node0;0;103726;36786;0;8275;7252972.031333;83 days 22:45:18
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node1;0;180567;75214;0;6436;7175191.071333;83 days 1:6:40
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node2;0;336671;113497;1;981;7701528.338;89 days 3:21:18
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node3;0;218757;224155;0;5399;5858614.880666;67 days 19:23:52
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node4;0;328320;110853;0;6689;6776634.528666;78 days 10:24:20
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node5;0;184742;78242;0;4354;7491911.337333;86 days 17:6:12
