Simulation Total Time;7982190
Total Number of Sensed Events by the WSN: 362133
Total Number of Sensed Events by the Drone: 362133
Number of Sensed Events by the Drone per Day
eboracum.wsn.network.node.sensor.MuleWSNNode;Node13;0;433671;40368;0;6816;7752159.999998;89 days 17:24:3
eboracum.wsn.network.node.sensor.MuleWSNNode;Node14;0;437387;40437;0;6822;7750949.999998;89 days 17:2:37
eboracum.wsn.network.node.sensor.MuleWSNNode;Node15;0;434307;40560;0;6894;7738779.999998;89 days 13:39:54
eboracum.wsn.network.node.sensor.MuleWSNNode;Node16;0;420774;39888;0;6855;7747389.999998;89 days 16:3:15
eboracum.wsn.network.node.sensor.MuleWSNNode;Node17;0;315554;31455;0;6198;7882809.999998;91 days 5:41:17
eboracum.wsn.network.node.sensor.MuleWSNNode;Node18;0;334324;32429;0;6372;7851143.333331;90 days 20:53:56
eboracum.wsn.network.node.sensor.MuleWSNNode;Node19;0;440911;40704;0;6926;7733076.666663;89 days 12:4:49
eboracum.wsn.network.node.sensor.MuleWSNNode;Node20;0;449208;41198;0;6914;7733386.666664;89 days 12:11:8
eboracum.wsn.network.node.sensor.MuleWSNNode;Node21;0;390201;41083;0;6806;7751413.333333;89 days 17:11:47
eboracum.wsn.network.node.sensor.MuleWSNNode;Node22;0;385530;40972;1;6786;7755046.666664;89 days 18:12:18
eboracum.wsn.network.node.sensor.MuleWSNNode;Node23;0;393178;40941;0;6880;7739796.666664;89 days 13:56:48
eboracum.wsn.network.node.sensor.MuleWSNNode;Node24;0;440025;40961;0;6826;7748549.999999;89 days 16:22:58
eboracum.wsn.network.node.sensor.MuleWSNNode;Node25;0;422072;40540;0;6853;7745543.333331;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node26;0;322429;32118;0;6355;7854956.666664;90 days 21:57:41
eboracum.wsn.network.node.sensor.MuleWSNNode;Node27;0;327856;32372;0;6379;7850189.999997;90 days 20:37:49
eboracum.wsn.network.node.sensor.MuleWSNNode;Node28;0;434451;40411;0;6820;7751363.33333;89 days 17:9:31
eboracum.wsn.network.node.sensor.MuleWSNNode;Node29;0;391335;40948;0;6768;7758066.666664;89 days 19:2:14
eboracum.wsn.network.node.sensor.MuleWSNNode;Node30;0;263982;41009;0;6928;7731730;89 days 11:42:27
eboracum.wsn.network.node.sensor.MuleWSNNode;Node31;0;216846;34311;0;6900;7758630;89 days 19:11:43
eboracum.wsn.network.node.sensor.MuleWSNNode;Node32;0;262613;40838;0;6797;7753696.666667;89 days 17:48:34
eboracum.wsn.network.node.sensor.MuleWSNNode;Node33;0;382230;40718;0;6706;7768959.999997;89 days 22:3:40
eboracum.wsn.network.node.sensor.MuleWSNNode;Node34;0;422762;40361;0;6873;7742873.333331;89 days 14:48:34
eboracum.wsn.network.node.sensor.MuleWSNNode;Node35;0;321313;32152;0;6371;7852229.999998;90 days 21:10:31
eboracum.wsn.network.node.sensor.MuleWSNNode;Node36;0;323580;32249;0;6423;7843413.333331;90 days 18:44:4
eboracum.wsn.network.node.sensor.MuleWSNNode;Node37;0;426012;40317;0;6780;7758209.999997;89 days 19:3:49
eboracum.wsn.network.node.sensor.MuleWSNNode;Node38;0;374751;40734;0;6753;7761233.333331;89 days 19:54:59
eboracum.wsn.network.node.sensor.MuleWSNNode;Node39;0;211763;34178;0;6797;7775896.666666;89 days 23:59:22
eboracum.wsn.network.node.sensor.MuleWSNNode;Node40;0;137276;34115;0;6725;7765450;89 days 21:4:23
eboracum.wsn.network.node.sensor.MuleWSNNode;Node41;0;216668;34199;0;6800;7775336.666666;89 days 23:50:13
eboracum.wsn.network.node.sensor.MuleWSNNode;Node42;0;383057;40779;0;6810;7751769.999997;89 days 17:17:34
eboracum.wsn.network.node.sensor.MuleWSNNode;Node43;0;432957;40407;0;6806;7753663.333331;89 days 17:48:34
eboracum.wsn.network.node.sensor.MuleWSNNode;Node44;0;323496;31831;0;6205;7880413.333331;91 days 5:0:17
eboracum.wsn.network.node.sensor.MuleWSNNode;Node45;0;325554;32086;0;6266;7869599.999997;91 days 2:0:26
eboracum.wsn.network.node.sensor.MuleWSNNode;Node46;0;421168;40359;0;6829;7750066.666664;89 days 16:48:4
eboracum.wsn.network.node.sensor.MuleWSNNode;Node47;0;374515;41100;0;6896;7736653.333331;89 days 13:4:49
eboracum.wsn.network.node.sensor.MuleWSNNode;Node48;0;259450;41151;0;6902;7735503.333334;89 days 12:46:37
eboracum.wsn.network.node.sensor.MuleWSNNode;Node49;0;216877;34633;0;6916;7754943.333333;89 days 18:10:4
