Simulation Total Time;8290024
Total Number of Sensed Events by the WSN: 0
Number of Sensed Events by the WSN per Day
1;0
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node98;0;0;0;0;4789;8201833.333333;94 days 22:24:32
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node99;0;0;0;1;4354;8274333.333333;95 days 19:17:57
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;386553;0
Time that first node die: Node32 93 days 15:56:13
Simulation Total Time;8288165
Total Number of Sensed Events by the WSN: 0
Number of Sensed Events by the WSN per Day
1;0
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;0;0;1;4397;8267166.666667;95 days 18:32:45
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;0;0;0;4785;8202500;94 days 22:28:38
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;0;0;1;4746;8209000;95 days 0:23:11
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;0;0;0;4801;8199833.333333;94 days 21:53:25
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;0;0;1;4773;8204500;94 days 23:10:23
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;0;0;0;4808;8198666.666667;94 days 21:30:35
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;0;0;1;4763;8206166.666667;94 days 23:36:14
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;0;0;1;4804;8199333.333333;94 days 21:53:25
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;0;0;1;4984;8169333.333333;94 days 14:42:18
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;0;0;1;4307;8282166.666667;95 days 20:59:53
