Simulation Total Time;4215587
Total Number of Sensed Events by the Drone: 1274296
Number of Sensed Events by the Drone per Day
1;40591
2;40604
3;40749
4;40572
5;40758
6;40775
7;41026
8;40876
9;40988
10;40672
11;40521
12;40682
13;40732
14;40893
15;40862
16;40927
17;40955
18;40909
19;40893
20;40894
21;40656
22;40808
23;40729
24;40783
25;40453
26;40742
27;40958
28;40940
29;40911
30;40658
31;40580
32;10199
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime; Battery spent with drone
eboracum.wsn.network.node.sensor.UAVWSNNode;Node2;0;410919;100851;1;25341;3767989.999996;43 days 14:40:28;54681.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node3;0;422956;101075;0;25494;3740249.999996;43 days 6:59:22;55221.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node4;0;429372;101067;0;25363;3762163.333329;;54756.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node5;0;429386;100677;1;25364;3765896.666662;43 days 14:7:5;54537.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node6;0;426560;100248;1;25343;3773686.666662;43 days 16:15:17;54228.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node7;0;427629;100223;1;25333;3775603.333329;43 days 16:48:1;54120.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node8;0;391561;97583;0;25367;3796336.666663;43 days 22:32:43;53946.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node9;0;273385;75729;1;24207;4208209.999999;48 days 17:0:14;46302.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node10;0;314684;93210;1;25563;3807399.999998;44 days 1:39:46;54024.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node11;0;513791;124701;0;26185;3388823.333329;39 days 5:20:30;62469.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node12;0;616293;127135;0;26019;3392149.999993;39 days 6:17:0;61905.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node13;0;604275;127343;0;26058;3383569.999993;39 days 3:53:17;62085.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node14;0;640971;127465;0;26086;3377683.333325;39 days 2:15:12;62598.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node15;0;613973;127351;0;26079;3379989.999992;39 days 2:53:16;62418.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node16;0;650436;126947;0;26046;3389529.999991;39 days 5:33:12;61830.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node17;0;619775;127251;0;26073;3381989.999992;39 days 3:26:48;62376.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node18;0;595867;124459;0;26204;3388076.666659;39 days 5:8:5;62280.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node19;0;404643;97790;0;25436;3782766.666662;43 days 18:46:31;54318.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node20;0;338299;100236;1;25425;3760139.999998;43 days 12:29:0;53769.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node21;0;546891;127024;0;26066;3385426.666662;39 days 4:23:49;62427.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node22;0;619675;129602;0;25921;3383813.333326;39 days 3:57:29;62211.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node23;0;632987;129312;0;25893;3391379.999992;;62046.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node24;0;635528;129632;0;25899;3387179.999992;39 days 4:53:2;62280.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node25;0;638693;129952;1;26020;3363813.333325;38 days 22:23:48;62433.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node26;0;651369;129643;1;25917;3384069.999991;39 days 4:1:45;61851.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node27;0;647139;130079;0;26043;3358709.999992;38 days 20:59:4;62931.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node28;0;609599;127027;1;26019;3393229.999992;39 days 6:34:39;61845.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node29;0;417987;100127;1;25254;3789729.999996;43 days 20:47:14;54162.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node30;0;349131;100149;1;25436;3759176.666664;43 days 12:13:42;54213.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node31;0;546670;127368;1;26047;3385153.333329;39 days 4:19:28;61998.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node32;0;625834;129438;1;25931;3383786.66666;39 days 3:56:51;62454.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node33;0;634072;129422;1;25876;3393113.333325;39 days 6:33:37;61635.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node34;0;639177;129591;0;25875;3391589.999992;39 days 6:8:27;61842.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node35;0;642261;129873;0;26011;3366103.333325;38 days 23:2:12;62814.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node36;0;649373;130157;1;25930;3376763.333325;39 days 2:0:48;62133.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node37;0;653491;130344;0;26103;3346059.999992;38 days 17:28:4;63105.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node38;0;612617;127050;0;25959;3402999.999992;39 days 9:17:25;61806.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node39;0;419597;100318;1;25319;3776986.666662;43 days 17:15:38;54294.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node40;0;347777;100361;0;25299;3779889.999998;43 days 17:58:22;54159.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node41;0;550764;127430;1;26149;3367533.333328;38 days 23:25:46;62871.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node42;0;624642;130062;1;25921;3379213.333326;39 days 2:41:2;62223.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node43;0;635755;129970;0;25992;3368299.999992;38 days 23:38:30;62661.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node44;0;640524;129924;0;26008;3366093.333325;38 days 23:2:12;62577.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node45;0;642935;130237;0;25931;3375796.666658;39 days 1:44:10;62364.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node46;0;649893;130188;0;25969;3369953.333325;39 days 0:7:28;62778.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node47;0;656184;130534;1;25962;3367659.999991;38 days 23:28:53;62748.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node48;0;619764;127449;0;26010;3390509.999992;39 days 5:48:47;62223.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node49;0;417645;100709;0;25360;3766243.333329;43 days 14:11:30;54735.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node50;0;349693;100348;1;25292;3781186.666664;43 days 18:22:22;53943.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node51;0;550664;127503;0;26131;3369803.333328;39 days 0:3:28;62592.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node52;0;623810;129855;1;25927;3380283.333326;39 days 2:58:55;62214.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node53;0;635330;130120;0;26055;3356299.999992;38 days 20:19:22;62838.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node54;0;638406;130074;0;26013;3363759.999992;38 days 22:22:42;62304.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node55;0;643014;129936;0;25915;3381473.333325;39 days 3:23:8;62385.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node56;0;648697;130419;0;25958;3369476.666658;38 days 23:58:18;62634.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node57;0;658078;130309;0;25998;3363909.999991;38 days 22:26:18;62862.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node58;0;620018;127732;1;26077;3376513.333325;39 days 1:55:32;62805.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node59;0;413212;101136;0;25368;3760639.999995;;54795.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node60;0;348248;100719;1;25444;3752143.333331;43 days 10:16:44;54477.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node61;0;551428;127224;0;26088;3379759.999995;39 days 2:49:54;62496.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node62;0;617111;129509;1;25892;3389576.66666;39 days 5:33:12;61917.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node63;0;634931;129435;1;25930;3383983.333325;39 days 4:0:28;62178.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node64;0;635776;129390;0;25968;3378099.999992;39 days 2:21:47;62079.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node65;0;641194;129772;0;25959;3375779.999992;39 days 1:44:10;62376.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node66;0;646862;129989;1;25994;3367776.666658;38 days 23:30:54;62724.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node67;0;652424;129666;0;25930;3381673.333325;39 days 3:23:8;61884.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node68;0;619877;127262;1;26043;3386879.999992;39 days 4:48:15;62280.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node69;0;409205;100948;0;25402;3756853.333329;43 days 11:35:8;54969.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node70;0;346651;100588;0;25399;3760953.333331;43 days 12:44:16;54909.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node71;0;547969;127202;0;26010;3392979.999995;39 days 6:30:25;61926.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node72;0;608544;129067;0;25892;3393996.66666;39 days 6:47:31;62046.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node73;0;635036;129058;0;25827;3404919.999992;39 days 9:49:18;61503.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node74;0;632106;128797;1;25834;3406363.333325;39 days 10:23:39;61329.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node75;0;640024;129227;0;25888;3393063.333325;39 days 6:31:34;61875.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node76;0;647429;129425;0;25927;3384583.333325;39 days 4:10:51;62367.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node77;0;647437;129181;1;25874;3395856.666658;39 days 7:18:35;61458.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node78;0;623021;126725;1;26005;3398583.333325;39 days 8:3:41;61719.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node79;0;402452;100597;0;25353;3768529.999996;43 days 14:48:58;54594.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node80;0;329112;98185;0;25388;3786816.666665;;54255.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node81;0;520835;124601;0;26161;3393823.333329;39 days 6:44:13;62199.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node82;0;580412;127249;1;25996;3394843.333327;39 days 7:0:53;62133.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node83;0;635842;127040;0;26054;3387266.666659;39 days 4:55:47;62637.0
eboracum.wsn.network.node.sensor.UAVWSNNode;Node84;0;606355;126805;0;26046;3390949.999992;39 days 5:56:46;62103.0
