Simulation Total Time;8908752
Total Number of Sensed Events by the WSN: 576507
Total Number of Sensed Events by the Drone: 252524
Number of Sensed Events by the Drone per Day
eboracum.wsn.network.node.sensor.MuleWSNNode;Node31;0;623005;158029;0;31636;3306026.666663;38 days 6:20:44
eboracum.wsn.network.node.sensor.MuleWSNNode;Node32;0;637581;142437;0;28045;3944533.333329;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node33;0;807191;94019;0;17203;5876783.333324;68 days 0:26:40
eboracum.wsn.network.node.sensor.MuleWSNNode;Node34;0;768833;36442;0;5219;8026089.99999;92 days 21:29:40
eboracum.wsn.network.node.sensor.MuleWSNNode;Node35;0;826637;18901;0;2200;8577663.333321;99 days 6:42:26
eboracum.wsn.network.node.sensor.MuleWSNNode;Node36;0;1111180;55727;0;8855;7367926.666652;85 days 6:39:5
eboracum.wsn.network.node.sensor.MuleWSNNode;Node37;0;811939;93869;0;17163;5883813.333325;68 days 2:23:40
eboracum.wsn.network.node.sensor.MuleWSNNode;Node38;0;903879;108146;0;20610;5273216.666656;61 days 0:47:22
eboracum.wsn.network.node.sensor.MuleWSNNode;Node39;0;796679;93687;0;17101;5894546.666658;68 days 5:22:44
eboracum.wsn.network.node.sensor.MuleWSNNode;Node40;0;1109621;55664;0;8739;7387083.333318;85 days 11:58:46
eboracum.wsn.network.node.sensor.MuleWSNNode;Node41;0;833271;18951;0;2264;8567043.333321;99 days 3:45:1
eboracum.wsn.network.node.sensor.MuleWSNNode;Node42;0;635029;5428;0;497;8900729.99999;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node43;0;834588;18990;0;2234;8571813.33332;99 days 5:3:46
eboracum.wsn.network.node.sensor.MuleWSNNode;Node44;0;770774;36421;0;5192;8030569.99999;92 days 22:42:55
eboracum.wsn.network.node.sensor.MuleWSNNode;Node45;0;757475;44162;0;6788;7744086.666657;89 days 15:8:18
eboracum.wsn.network.node.sensor.MuleWSNNode;Node46;0;761665;36295;0;5162;8035889.99999;93 days 0:11:44
eboracum.wsn.network.node.sensor.MuleWSNNode;Node47;0;823797;18811;0;2222;8574369.999988;99 days 5:46:13
eboracum.wsn.network.node.sensor.MuleWSNNode;Node48;0;633942;5446;0;480;8903446.666658;103 days 1:10:59
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;415482;0
Time that first node die: Node24 31 days 12:38:23
Simulation Total Time;8908124
Total Number of Sensed Events by the WSN: 577727
Total Number of Sensed Events by the Drone: 253489
Number of Sensed Events by the Drone per Day
1;4046
2;4031
3;4067
4;4090
5;4066
6;3967
7;4054
8;4099
9;4084
10;4048
11;4048
12;4018
13;4004
14;4030
15;4024
16;4057
17;4001
18;4091
19;4107
20;3994
21;3987
22;4043
23;4044
24;4089
25;4025
26;4050
27;4111
28;4029
29;4071
30;4016
31;4036
32;4043
33;4004
34;3992
35;3960
36;4075
37;3943
38;4007
39;3719
40;3512
41;3686
42;3622
43;3559
44;3585
45;3620
46;3059
47;2413
48;2388
49;2451
50;2414
51;2429
52;2393
53;2487
54;2384
55;2476
56;2450
57;2405
58;2475
59;2441
60;2434
61;2353
62;2085
63;2003
64;2052
65;2079
66;2065
67;2058
68;2036
69;1033
70;855
71;887
72;898
73;912
74;859
75;808
76;886
77;867
78;920
79;861
80;900
81;856
82;880
83;937
84;846
85;864
86;763
87;588
88;591
89;658
90;605
91;484
92;518
93;468
94;204
95;155
96;195
97;168
98;167
99;162
100;57
101;20
102;19
103;14
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.MuleWSNNode;Node0;0;610874;5269;0;481;8903873.333324;103 days 1:18:28
eboracum.wsn.network.node.sensor.MuleWSNNode;Node1;0;860078;18618;0;2163;8584649.999987;99 days 8:37:39
eboracum.wsn.network.node.sensor.MuleWSNNode;Node2;0;754624;36264;0;5199;8029953.333323;92 days 22:32:39
eboracum.wsn.network.node.sensor.MuleWSNNode;Node3;0;748953;44362;0;6780;7744729.99999;89 days 15:19:34
eboracum.wsn.network.node.sensor.MuleWSNNode;Node4;0;766809;36772;0;5342;8004899.99999;92 days 15:35:19
eboracum.wsn.network.node.sensor.MuleWSNNode;Node5;0;833978;19000;0;2234;8571783.333321;99 days 5:3:39
eboracum.wsn.network.node.sensor.MuleWSNNode;Node6;0;633568;5408;0;464;8906186.666657;103 days 1:57:51
eboracum.wsn.network.node.sensor.MuleWSNNode;Node7;0;809887;18553;0;2144;8587969.999988;99 days 9:34:16
eboracum.wsn.network.node.sensor.MuleWSNNode;Node8;0;1128395;55366;0;8631;7405716.666651;85 days 17:9:8
eboracum.wsn.network.node.sensor.MuleWSNNode;Node9;0;812622;93523;0;17075;5899339.999991;68 days 6:43:14
eboracum.wsn.network.node.sensor.MuleWSNNode;Node10;0;961854;108064;0;20619;5272016.666656;61 days 0:27:8
eboracum.wsn.network.node.sensor.MuleWSNNode;Node11;0;813887;94024;0;17216;5874639.999991;67 days 23:50:59
eboracum.wsn.network.node.sensor.MuleWSNNode;Node12;0;1113621;55819;0;8749;7384933.333319;85 days 11:23:17
eboracum.wsn.network.node.sensor.MuleWSNNode;Node13;0;821234;18907;0;2245;8570293.33332;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node14;0;770569;36447;0;5173;8033586.666656;92 days 23:33:36
eboracum.wsn.network.node.sensor.MuleWSNNode;Node15;0;857225;94034;0;17315;5858439.999991;67 days 19:20:45
eboracum.wsn.network.node.sensor.MuleWSNNode;Node16;0;735086;142312;0;28052;3943803.333327;45 days 15:30:9
eboracum.wsn.network.node.sensor.MuleWSNNode;Node17;0;686719;158271;1;31599;3311263.333328;38 days 7:47:56
eboracum.wsn.network.node.sensor.MuleWSNNode;Node18;0;689138;142295;1;28101;3935849.999994;45 days 13:17:31
eboracum.wsn.network.node.sensor.MuleWSNNode;Node19;0;802765;93868;0;17209;5876303.333325;68 days 0:18:34
eboracum.wsn.network.node.sensor.MuleWSNNode;Node20;0;758379;36555;0;5228;8024243.333323;92 days 20:57:39
eboracum.wsn.network.node.sensor.MuleWSNNode;Node21;0;762061;44244;0;6795;7742669.99999;89 days 14:45:32
eboracum.wsn.network.node.sensor.MuleWSNNode;Node22;0;909540;108652;0;20760;5247026.666656;60 days 17:30:34
eboracum.wsn.network.node.sensor.MuleWSNNode;Node23;0;661100;158272;0;31639;3304729.999996;38 days 5:59:37
